municipio,data_alagamento,chuva_7d,dias_chuva_7d
MAGÉ,2020-12-23,0.0,0
ITAPEVA,2020-12-14,31.0,5
CARAPEBUS,2020-11-25,0.0,0
MAGÉ,2020-11-24,0.0,0
SILVA JARDIM,2020-03-31,44.400000000000006,2
MONGAGUÁ,2020-03-09,0.0,0
IBIÚNA,2020-03-04,0.0,0
IBIÚNA,2020-03-04,0.0,0
ITAPEVI,2020-02-21,0.0,0
BOM JESUS DO ITABAPOANA,2020-02-17,0.0,0
IBIÚNA,2020-03-04,0.0,0
PORCIÚNCULA,2020-02-14,0.0,0
ITAPEVI,2020-02-22,0.0,0
IBIÚNA,2020-03-04,0.0,0
RIO CLARO,2020-02-12,88.6,5
ITÁPOLIS,2020-01-27,0.0,0
IBIÚNA,2020-03-04,0.0,0
IBIÚNA,2020-03-04,0.0,0
SANTA MARIA MADALENA,2020-01-06,107.2,4
MIGUEL PEREIRA,2020-01-09,0.0,0
MAGÉ,2021-12-20,0.0,0
VASSOURAS,2022-01-06,0.0,0
CARAPEBUS,2021-11-29,0.0,0
CARAPEBUS,2021-11-11,0.0,0
MAGÉ,2021-10-20,0.0,0
CAMPOS DOS GOYTACAZES,2021-03-02,1.2,3
APERIBÉ,2021-02-10,0.0,0
SANTO ANTÔNIO DE PÁDUA,2021-02-07,0.0,0
MAGÉ,2021-01-11,0.0,0
SILVA JARDIM,2021-01-25,0.0,0
ARTUR NOGUEIRA,2023-01-09,0.0,0
ARRAIAL DO CABO,2022-11-28,227.0,4
DUQUE DE CAXIAS,2022-04-11,67.8,4
SAQUAREMA,2022-04-03,380.6,4
MARICÁ,2022-04-03,0.0,0
SÃO MIGUEL ARCANJO,2022-03-16,0.0,0
VASSOURAS,2022-02-10,0.0,0
RAFARD,2022-02-04,0.0,0
MONTE MOR,2022-01-31,0.0,0
CANTAGALO,2022-02-10,0.0,0
VASSOURAS,2022-02-11,0.0,0
ARRAIAL DO CABO,2023-11-29,0.0,0
VALINHOS,2023-10-11,0.0,0
PORTO FERREIRA,2023-10-11,0.0,0
LIMEIRA,2023-05-12,0.0,0
ARRAIAL DO CABO,2023-04-03,1.6,4
DUQUE DE CAXIAS,2023-03-31,23.799999999999997,3
VASSOURAS,2023-03-01,0.0,0
LIMEIRA,2023-05-12,0.0,0
IBIÚNA,2023-03-14,0.0,0
ITABERÁ,2023-02-09,0.0,0
CHARQUEADA,2023-02-10,0.0,0
CAJAMAR,2023-01-26,0.0,0
VASSOURAS,2023-01-24,0.0,0
VASSOURAS,2023-01-23,0.0,0
PACAEMBU,2023-01-19,0.0,0
IBIÚNA,2023-03-15,0.0,0
IBIÚNA,2023-03-15,0.0,0
VALENÇA,2023-01-13,0.0,0
ARRAIAL DO CABO,2023-02-27,0.2,1
IBIÚNA,2023-03-09,0.0,0
IBIÚNA,2023-03-07,0.0,0
IBIÚNA,2023-03-08,0.0,0
MACUCO,2024-12-29,0.0,0
VASSOURAS,2025-01-10,0.0,0
VASSOURAS,2025-01-10,0.0,0
FRANCISCO MORATO,2024-11-06,0.0,0
SAPUCAIA,2024-02-16,0.0,0
MAGÉ,2024-01-29,0.0,0
MAGÉ,2024-01-22,0.0,0
VASSOURAS,2024-01-22,0.0,0
MAGÉ,2024-01-15,0.0,0
NILÓPOLIS,2024-01-04,0.0,0
COMENDADOR LEVY GASPARIAN,2025-04-10,0.0,0
SANTA BÁRBARA D`OESTE,2025-02-07,0.0,0
TERRA ROXA,2025-02-10,0.0,0
DIADEMA,2025-02-28,0.0,0
MIRACEMA,2025-01-17,0.0,0
