Municipio,UF,Date,precipitacao_diaria
ANGRA DOS REIS,RJ,2020-01-01,0.0
ANGRA DOS REIS,RJ,2020-01-02,0.6
ANGRA DOS REIS,RJ,2020-01-03,2.6
ANGRA DOS REIS,RJ,2020-01-04,0.8
ANGRA DOS REIS,RJ,2020-01-05,10.0
ANGRA DOS REIS,RJ,2020-01-06,2.4
ANGRA DOS REIS,RJ,2020-01-07,0.0
ANGRA DOS REIS,RJ,2020-01-08,10.4
ANGRA DOS REIS,RJ,2020-01-09,0.2
ANGRA DOS REIS,RJ,2020-01-10,0.0
ANGRA DOS REIS,RJ,2020-01-11,5.6000000000000005
ANGRA DOS REIS,RJ,2020-01-12,6.6
ANGRA DOS REIS,RJ,2020-01-13,8.4
ANGRA DOS REIS,RJ,2020-01-14,1.4
ANGRA DOS REIS,RJ,2020-01-15,0.0
ANGRA DOS REIS,RJ,2020-01-16,0.0
ANGRA DOS REIS,RJ,2020-01-17,50.6
ANGRA DOS REIS,RJ,2020-01-18,4.0
ANGRA DOS REIS,RJ,2020-01-19,0.0
ANGRA DOS REIS,RJ,2020-01-20,0.0
ANGRA DOS REIS,RJ,2020-01-21,0.0
ANGRA DOS REIS,RJ,2020-01-22,0.0
ANGRA DOS REIS,RJ,2020-01-23,2.8000000000000003
ANGRA DOS REIS,RJ,2020-01-24,35.6
ANGRA DOS REIS,RJ,2020-01-25,0.2
ANGRA DOS REIS,RJ,2020-01-26,0.0
ANGRA DOS REIS,RJ,2020-01-27,0.0
ANGRA DOS REIS,RJ,2020-01-28,0.0
ANGRA DOS REIS,RJ,2020-01-29,0.0
ANGRA DOS REIS,RJ,2020-01-30,29.2
ANGRA DOS REIS,RJ,2020-01-31,11.4
ANGRA DOS REIS,RJ,2020-02-01,17.4
ANGRA DOS REIS,RJ,2020-02-02,6.2
ANGRA DOS REIS,RJ,2020-02-03,33.2
ANGRA DOS REIS,RJ,2020-02-04,9.4
ANGRA DOS REIS,RJ,2020-02-05,7.8
ANGRA DOS REIS,RJ,2020-02-06,3.4
ANGRA DOS REIS,RJ,2020-02-07,3.6
ANGRA DOS REIS,RJ,2020-02-08,0.0
ANGRA DOS REIS,RJ,2020-02-09,0.0
ANGRA DOS REIS,RJ,2020-02-10,33.6
ANGRA DOS REIS,RJ,2020-02-11,41.8
ANGRA DOS REIS,RJ,2020-02-12,13.8
ANGRA DOS REIS,RJ,2020-02-13,4.0
ANGRA DOS REIS,RJ,2020-02-14,2.6
ANGRA DOS REIS,RJ,2020-02-15,0.0
ANGRA DOS REIS,RJ,2020-02-16,1.2
ANGRA DOS REIS,RJ,2020-02-17,1.0
ANGRA DOS REIS,RJ,2020-02-18,0.0
ANGRA DOS REIS,RJ,2020-02-19,0.0
ANGRA DOS REIS,RJ,2020-02-20,0.0
ANGRA DOS REIS,RJ,2020-02-21,49.0
ANGRA DOS REIS,RJ,2020-02-22,20.200000000000003
ANGRA DOS REIS,RJ,2020-02-23,16.4
ANGRA DOS REIS,RJ,2020-02-24,2.4
ANGRA DOS REIS,RJ,2020-02-25,3.4000000000000004
ANGRA DOS REIS,RJ,2020-02-26,6.800000000000001
ANGRA DOS REIS,RJ,2020-02-27,24.0
ANGRA DOS REIS,RJ,2020-02-28,5.6
ANGRA DOS REIS,RJ,2020-02-29,22.400000000000002
ANGRA DOS REIS,RJ,2020-03-01,93.4
ANGRA DOS REIS,RJ,2020-03-02,6.2
ANGRA DOS REIS,RJ,2020-03-03,13.600000000000001
ANGRA DOS REIS,RJ,2020-03-04,19.8
ANGRA DOS REIS,RJ,2020-03-05,0.6000000000000001
ANGRA DOS REIS,RJ,2020-03-06,0.0
ANGRA DOS REIS,RJ,2020-03-07,0.0
ANGRA DOS REIS,RJ,2020-03-08,0.0
ANGRA DOS REIS,RJ,2020-03-09,1.8
ANGRA DOS REIS,RJ,2020-03-10,0.0
ANGRA DOS REIS,RJ,2020-03-11,0.0
ANGRA DOS REIS,RJ,2020-03-12,0.0
ANGRA DOS REIS,RJ,2020-03-13,0.0
ANGRA DOS REIS,RJ,2020-03-14,0.0
ANGRA DOS REIS,RJ,2020-03-15,0.2
ANGRA DOS REIS,RJ,2020-03-16,0.0
