estado,municipio,lat,lon
RJ,Angra dos Reis,-23.1555405,-44.2344809
RJ,Aperibé,-21.6211928,-42.1028167
RJ,Araruama,-22.8733203,-42.3428897
RJ,Areal,-22.2314922,-43.1056264
RJ,Armação dos Búzios,-22.7597805,-41.8875267
RJ,Arraial do Cabo,-22.9662839,-42.0244270
RJ,Barra do Piraí,-22.4242692,-43.8935244
RJ,Barra Mansa,-22.5617455,-44.1663435
RJ,Belford Roxo,-22.7667284,-43.4033603
RJ,Bom Jardim,-22.1515328,-42.4186683
RJ,Bom Jesus do Itabapoana,-21.1351354,-41.6798294
RJ,Cabo Frio,-22.8804369,-42.0189227
RJ,Cachoeiras de Macacu,-22.4626861,-42.6534414
RJ,Cambuci,-21.5762274,-41.9122930
RJ,Carapebus,-22.1869969,-41.6633764
RJ,Comendador Levy Gasparian,-22.0286850,-43.2046550
RJ,Campos dos Goytacazes,-21.7546000,-41.3242000
RJ,Cantagalo,-21.9815000,-42.3645000
RJ,Cardoso Moreira,-21.4884962,-41.6176928
RJ,Carmo,-21.9338000,-42.6084000
RJ,Casimiro de Abreu,-22.4756154,-42.1522235
RJ,Conceição de Macabu,-22.1618951,-41.8806433
RJ,Cordeiro,-22.0287681,-42.3607442
RJ,Duas Barras,-22.0522519,-42.5194705
RJ,Duque de Caxias,-22.6429163,-43.3021266
RJ,Engenheiro Paulo de Frontin,-22.5504556,-43.6783403
RJ,Guapimirim,-22.5266308,-42.9790687
RJ,Iguaba Grande,-22.8388498,-42.2286746
RJ,Itaboraí,-22.7558128,-42.8829561
RJ,Itaguaí,-22.8122697,-43.8235630
RJ,Italva,-21.4221815,-41.6912044
RJ,Itaocara,-21.6765000,-42.0815000
RJ,Itaperuna,-21.2158160,-41.8798130
RJ,Itatiaia,-22.4955278,-44.5633108
RJ,Japeri,-22.6427642,-43.6533831
RJ,Laje do Muriaé,-21.2082595,-42.1226959
RJ,Macaé,-22.2828305,-41.9649091
RJ,Macuco,-21.9849747,-42.2539464
RJ,Magé,-22.6604221,-43.0426162
RJ,Mangaratiba,-22.9600193,-44.0411100
RJ,Maricá,-22.9196772,-42.8184375
RJ,Mendes,-22.5269113,-43.7332604
RJ,Mesquita,-22.7830920,-43.4293599
RJ,Miguel Pereira,-22.4539417,-43.4691978
RJ,Miracema,-21.4121000,-42.1966000
RJ,Natividade,-21.0426488,-41.9409815
RJ,Nilópolis,-22.8080114,-43.4138222
RJ,Niterói,-22.8884000,-43.1147000
RJ,Nova Friburgo,-22.3061661,-42.4934183
RJ,Nova Iguaçu,-22.7592175,-43.4508728
RJ,Paracambi,-22.6109158,-43.7096912
RJ,Paraíba do Sul,-22.1636384,-43.2916915
RJ,Paraty,-23.2196461,-44.7154196
RJ,Paty do Alferes,-22.4272703,-43.4219523
RJ,Petrópolis,-22.5075743,-43.1785356
RJ,Pinheiral,-22.5129436,-44.0014350
RJ,Piraí,-22.6550812,-43.9193061
RJ,Porciúncula,-20.9632862,-42.0400358
RJ,Porto Real,-22.4195607,-44.2896491
RJ,Quatis,-22.4066444,-44.2577453
RJ,Queimados,-22.7156978,-43.5557540
RJ,Quissamã,-22.1072050,-41.4723411
RJ,Resende,-22.4683626,-44.4463494
RJ,Rio Bonito,-22.7108378,-42.6271864
RJ,Rio Claro,-22.7229997,-44.1359986
RJ,Rio das Flores,-22.1683478,-43.5858689
RJ,Rio das Ostras,-22.5269448,-41.9449720
RJ,Rio de Janeiro,-22.9110137,-43.2093727
RJ,Santa Maria Madalena,-21.9518563,-41.9000248
RJ,Santo Antônio de Pádua,-21.5390000,-42.1816000
RJ,São Francisco de Itabapoana,-21.4537438,-41.1452982
RJ,São Fidélis,-21.6467054,-41.7463412
RJ,São Gonçalo,-22.8216350,-42.9956797
RJ,São João da Barra,-21.6343900,-41.0499142
RJ,São João de Meriti,-22.7853575,-43.3667150
RJ,São José de Ubá,-21.3595365,-41.9389905
RJ,São José do Vale do Rio Preto,-22.1509994,-42.9239986
RJ,São Pedro da Aldeia,-22.8384835,-42.1031604
RJ,São Sebastião do Alto,-21.9555000,-42.1347000
RJ,Sapucaia,-22.0196881,-42.8408270
RJ,Saquarema,-22.9257974,-42.5076330
RJ,Seropédica,-22.7438887,-43.6991998
RJ,Silva Jardim,-22.6509706,-42.3947353
RJ,Sumidouro,-22.0455000,-42.6735000
RJ,Tanguá,-22.7353777,-42.7202272
RJ,Teresópolis,-22.4164578,-42.9751940
RJ,Trajano de Moraes,-22.0637596,-42.0648701
RJ,Três Rios,-22.1167884,-43.2087226
RJ,Valença,-22.2461028,-43.6996917
RJ,Varre-Sai,-20.9311337,-41.8677946
RJ,Vassouras,-22.4093928,-43.6609318
RJ,Volta Redonda,-22.5218560,-44.1040128
SP,Adamantina,-21.6866517,-51.0762975
SP,Adolfo,-21.2356597,-49.6441918
SP,Aguaí,-22.0592036,-46.9793840
SP,Águas da Prata,-21.9464285,-46.7192121
SP,Águas de Lindóia,-22.4718855,-46.6291034
SP,Águas de Santa Bárbara,-22.8821912,-49.2383956
SP,Águas de São Pedro,-22.6000681,-47.8750887
SP,Agudos,-22.4719836,-48.9884476
SP,Alambari,-23.5503380,-47.8979710
SP,Alfredo Marcondes,-21.9527000,-51.4139560
SP,Altair,-20.5238955,-49.0606135
SP,Altinópolis,-21.0213640,-47.3712000
SP,Alto Alegre,-21.5820592,-50.1661976
SP,Alumínio,-23.5203479,-47.2575256
SP,Álvares Florence,-20.2936023,-49.9330156
SP,Álvares Machado,-22.0764150,-51.4722400
SP,Álvaro de Carvalho,-22.0787992,-49.7194861
