municipio,estado,data,precipitacao
Adamantina,SP,2025-05-20,0.0
Adamantina,SP,2025-05-21,0.0
Adamantina,SP,2025-05-22,0.0
Adamantina,SP,2025-05-23,0.0
Adamantina,SP,2025-05-24,0.0
Adolfo,SP,2025-05-20,0.0
Adolfo,SP,2025-05-21,0.0
Adolfo,SP,2025-05-22,0.0
Adolfo,SP,2025-05-23,0.0
Adolfo,SP,2025-05-24,0.0
Aguaí,SP,2025-05-20,0.0
Aguaí,SP,2025-05-21,0.0
Aguaí,SP,2025-05-22,0.0
Aguaí,SP,2025-05-23,0.0
Aguaí,SP,2025-05-24,0.0
Agudos,SP,2025-05-20,0.0
Agudos,SP,2025-05-21,0.0
Agudos,SP,2025-05-22,0.0
Agudos,SP,2025-05-23,0.0
Agudos,SP,2025-05-24,0.0
Alambari,SP,2025-05-20,0.0
Alambari,SP,2025-05-21,0.0
Alambari,SP,2025-05-22,0.0
Alambari,SP,2025-05-23,0.12
Alambari,SP,2025-05-24,0.0
Alfredo Marcondes,SP,2025-05-20,0.0
Alfredo Marcondes,SP,2025-05-21,0.0
Alfredo Marcondes,SP,2025-05-22,0.0
Alfredo Marcondes,SP,2025-05-23,0.0
Alfredo Marcondes,SP,2025-05-24,0.0
Altair,SP,2025-05-20,0.0
Altair,SP,2025-05-21,0.0
Altair,SP,2025-05-22,0.0
Altair,SP,2025-05-23,0.0
Altair,SP,2025-05-24,0.0
Altinópolis,SP,2025-05-20,0.0
Altinópolis,SP,2025-05-21,0.0
Altinópolis,SP,2025-05-22,0.0
Altinópolis,SP,2025-05-23,0.0
Altinópolis,SP,2025-05-24,0.0
Alto Alegre,SP,2025-05-20,0.0
Alto Alegre,SP,2025-05-21,0.0
Alto Alegre,SP,2025-05-22,0.0
Alto Alegre,SP,2025-05-23,0.0
Alto Alegre,SP,2025-05-24,0.0
Alumínio,SP,2025-05-20,0.0
Alumínio,SP,2025-05-21,0.0
Alumínio,SP,2025-05-22,2.07
Alumínio,SP,2025-05-23,0.5800000000000001
Alumínio,SP,2025-05-24,0.0
Alvinlândia,SP,2025-05-20,0.0
Alvinlândia,SP,2025-05-21,0.0
Alvinlândia,SP,2025-05-22,0.0
Alvinlândia,SP,2025-05-23,0.0
Alvinlândia,SP,2025-05-24,0.0
Americana,SP,2025-05-20,0.0
Americana,SP,2025-05-21,0.0
Americana,SP,2025-05-22,0.0
Americana,SP,2025-05-23,0.0
Americana,SP,2025-05-24,0.0
Amparo,SP,2025-05-20,0.0
Amparo,SP,2025-05-21,0.0
Amparo,SP,2025-05-22,0.0
Amparo,SP,2025-05-23,0.0
Amparo,SP,2025-05-24,0.0
Américo Brasiliense,SP,2025-05-20,0.0
Américo Brasiliense,SP,2025-05-21,0.0
Américo Brasiliense,SP,2025-05-22,0.0
Américo Brasiliense,SP,2025-05-23,0.0
Américo Brasiliense,SP,2025-05-24,0.0
Américo de Campos,SP,2025-05-20,0.0
Américo de Campos,SP,2025-05-21,0.0
Américo de Campos,SP,2025-05-22,0.0
Américo de Campos,SP,2025-05-23,0.0
Américo de Campos,SP,2025-05-24,0.0
Analândia,SP,2025-05-20,0.0
Analândia,SP,2025-05-21,0.0
Analândia,SP,2025-05-22,0.0
Analândia,SP,2025-05-23,0.0
Analândia,SP,2025-05-24,0.0
Andradina,SP,2025-05-20,0.0
Andradina,SP,2025-05-21,0.0
Andradina,SP,2025-05-22,0.0
Andradina,SP,2025-05-23,0.0
Andradina,SP,2025-05-24,0.0
Angatuba,SP,2025-05-20,0.0
Angatuba,SP,2025-05-21,0.0
Angatuba,SP,2025-05-22,0.0
Angatuba,SP,2025-05-23,0.35
Angatuba,SP,2025-05-24,0.0
Angra dos Reis,RJ,2025-05-20,0.0
Angra dos Reis,RJ,2025-05-21,0.0
Angra dos Reis,RJ,2025-05-22,0.13
Angra dos Reis,RJ,2025-05-23,5.77
Angra dos Reis,RJ,2025-05-24,12.58
Anhembi,SP,2025-05-20,0.0
Anhembi,SP,2025-05-21,0.0
Anhembi,SP,2025-05-22,0.0
Anhembi,SP,2025-05-23,0.0
Anhembi,SP,2025-05-24,0.0
Anhumas,SP,2025-05-20,0.0
Anhumas,SP,2025-05-21,0.0
Anhumas,SP,2025-05-22,0.0
Anhumas,SP,2025-05-23,0.0
Anhumas,SP,2025-05-24,0.0
Aparecida,SP,2025-05-20,0.0
Aparecida,SP,2025-05-21,0.0
Aparecida,SP,2025-05-22,0.35
Aparecida,SP,2025-05-23,2.3099999999999996
Aparecida,SP,2025-05-24,0.54
Aparecida d'Oeste,SP,2025-05-20,0.0
Aparecida d'Oeste,SP,2025-05-21,0.0
Aparecida d'Oeste,SP,2025-05-22,0.0
Aparecida d'Oeste,SP,2025-05-23,0.0
Aparecida d'Oeste,SP,2025-05-24,0.0
Aperibé,RJ,2025-05-20,0.0
Aperibé,RJ,2025-05-21,0.0
Aperibé,RJ,2025-05-22,0.0
Aperibé,RJ,2025-05-23,0.0
Aperibé,RJ,2025-05-24,5.9
Apiaí,SP,2025-05-20,0.0
Apiaí,SP,2025-05-21,0.74
Apiaí,SP,2025-05-22,0.72
Apiaí,SP,2025-05-23,12.77
Apiaí,SP,2025-05-24,0.81
Aramina,SP,2025-05-20,0.0
Aramina,SP,2025-05-21,0.0
Aramina,SP,2025-05-22,0.0
